,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
1203,Freud,74,1962,140.0,Biography,7.3,John Huston,Montgomery Clift,Susannah York,Larry Parks,Susan Kohner,2487,1960-1970,6.0
1204,David and Lisa,90,1962,95.0,Drama,7.2,Frank Perry,Keir Dullea,Janet Margolin,Howard Da Silva,Neva Patterson,2769,1960-1970,6.0
1205,Captain Clegg,54,1962,82.0,Adventure,6.7,Peter Graham Scott,Peter Cushing,Yvonne Romain,Patrick Allen,Oliver Reed,2803,1960-1970,6.0
1206,Girls! Girls! Girls!,31,1962,106.0,Comedy,5.6,Norman Taurog,Elvis Presley,Stella Stevens,Jeremy Slate,Laurel Goodwin,2816,1960-1970,6.0
1207,In Search of the Castaways,46,1962,98.0,Adventure,6.6,Robert Stevenson,Hayley Mills,Maurice Chevalier,George Sanders,Wilfrid Hyde-White,2912,1960-1970,6.0
1208,The Treasure of the Silver Lake,92,1962,111.0,Adventure,6.9,Harald Reinl,Pierre Brice,Lex Barker,Herbert Lom,Götz George,2930,1960-1970,6.0
1209,The Phantom of the Opera,56,1962,90.0,Drama,6.4,Terence Fisher,Herbert Lom,Heather Sears,Edward de Souza,Thorley Walters,3002,1960-1970,6.0
1210,The Intruder,82,1962,84.0,Drama,7.6,Roger Corman,William Shatner,Frank Maxwell,Beverly Lunsford,Robert Emhardt,3065,1960-1970,6.0
1211,Night of the Eagle,62,1962,90.0,Horror,6.9,Sidney Hayers,Peter Wyngarde,Janet Blair,Margaret Johnston,Anthony Nicholls,3154,1960-1970,6.0
1212,The Damned,70,1962,87.0,Drama,6.6,Joseph Losey,Macdonald Carey,Shirley Anne Field,Viveca Lindfors,Alexander Knox,3191,1960-1970,6.0
1213,Taras Bulba,52,1962,122.0,Adventure,6.4,J. Lee Thompson,Tony Curtis,Yul Brynner,Christine Kaufmann,Sam Wanamaker,3694,1960-1970,6.0
1214,The Premature Burial,75,1962,81.0,Drama,6.5,Roger Corman,Ray Milland,Hazel Court,Richard Ney,Heather Angel,3786,1960-1970,6.0
1215,Panic in Year Zero!,85,1962,93.0,Action,6.6,Ray Milland,Ray Milland,Jean Hagen,Frankie Avalon,Mary Mitchel,3828,1960-1970,6.0
1216,Requiem for a Heavyweight,76,1962,95.0,Drama,7.8,Ralph Nelson,Anthony Quinn,Jackie Gleason,Mickey Rooney,Julie Harris,3904,1960-1970,6.0
1217,Billy Budd,61,1962,123.0,Adventure,7.9,Peter Ustinov,Robert Ryan,Peter Ustinov,Melvyn Douglas,Paul Rogers,4048,1960-1970,6.0
1218,Boccaccio '70,41,1962,205.0,Comedy,7.1,Vittorio De Sica,Federico Fellini,Mario Monicelli,Luchino Visconti,Anita Ekberg,4077,1960-1970,6.0
1219,Long Day's Journey Into Night,44,1962,174.0,Drama,7.6,Sidney Lumet,Katharine Hepburn,Ralph Richardson,Jason Robards,Dean Stockwell,4726,1960-1970,6.0
1220,Mr. Hobbs Takes a Vacation,13,1962,116.0,Comedy,6.9,Henry Koster,James Stewart,Maureen O'Hara,Fabian,Lauri Peters,4847,1960-1970,6.0
1221,Zatôichi monogatari,79,1962,96.0,Action,7.6,Kenji Misumi,Shintarô Katsu,Masayo Banri,Ryûzô Shimada,Hajime Mitamura,4852,1960-1970,6.0
1222,Experiment in Terror,63,1962,123.0,Crime,7.3,Blake Edwards,Glenn Ford,Lee Remick,Stefanie Powers,Roy Poole,4864,1960-1970,6.0
1223,Eegah,83,1962,92.0,Adventure,2.2,Arch Hall Sr.,Arch Hall Jr.,Marilyn Manning,Richard Kiel,Arch Hall Sr.,5447,1960-1970,6.0
1224,Gypsy,33,1962,143.0,Biography,7.1,Mervyn LeRoy,Rosalind Russell,Natalie Wood,Karl Malden,Paul Wallace,5739,1960-1970,6.0
1225,The Brain That Wouldn't Die,47,1962,82.0,Horror,4.4,Joseph Green,Jason Evers,Virginia Leith,Anthony La Penna,Adele Lamont,6379,1960-1970,6.0
1226,Hell Is for Heroes,59,1962,90.0,Drama,7.0,Don Siegel,Steve McQueen,Bobby Darin,Fess Parker,Harry Guardino,6490,1960-1970,6.0
1227,Tales of Terror,60,1962,89.0,Comedy,6.9,Roger Corman,Vincent Price,Maggie Pierce,Leona Gage,Peter Lorre,6667,1960-1970,6.0
1228,Advise & Consent,58,1962,139.0,Drama,7.7,Otto Preminger,Franchot Tone,Lew Ayres,Henry Fonda,Walter Pidgeon,6679,1960-1970,6.0
1229,The 300 Spartans,42,1962,114.0,Adventure,6.6,Rudolph Maté,Richard Egan,Ralph Richardson,Diane Baker,Barry Coe,6710,1960-1970,6.0
1230,Sweet Bird of Youth,37,1962,120.0,Drama,7.3,Richard Brooks,Paul Newman,Geraldine Page,Shirley Knight,Ed Begley,7101,1960-1970,6.0
1231,The Loneliness of the Long Distance Runner,64,1962,104.0,Drama,7.6,Tony Richardson,Michael Redgrave,Tom Courtenay,Avis Bunnage,Alec McCowen,8101,1960-1970,6.0
1232,An Autumn Afternoon,57,1962,113.0,Drama,8.1,Yasujirô Ozu,Chishû Ryû,Shima Iwashita,Keiji Sada,Mariko Okada,8279,1960-1970,6.0
1233,Lonely Are the Brave,39,1962,107.0,Drama,7.6,David Miller,Kirk Douglas,Gena Rowlands,Walter Matthau,Michael Kane,8372,1960-1970,6.0
1234,Mamma Roma,45,1962,106.0,Drama,7.8,Pier Paolo Pasolini,Anna Magnani,Ettore Garofolo,Franco Citti,Silvana Corsini,8581,1960-1970,6.0
1235,That Touch of Mink,35,1962,99.0,Comedy,6.7,Delbert Mann,Cary Grant,Doris Day,Gig Young,Audrey Meadows,9076,1960-1970,6.0
1236,Le doulos,53,1962,108.0,Crime,7.8,Jean-Pierre Melville,Jean-Paul Belmondo,Serge Reggiani,Jean Desailly,René Lefèvre,9697,1960-1970,6.0
1237,Il sorpasso,40,1962,105.0,Comedy,8.3,Dino Risi,Vittorio Gassman,Jean-Louis Trintignant,Catherine Spaak,Claudio Gora,9775,1960-1970,6.0
1238,Days of Wine and Roses,34,1962,117.0,Drama,7.9,Blake Edwards,Jack Lemmon,Lee Remick,Charles Bickford,Jack Klugman,11849,1960-1970,6.0
1239,Hatari!,15,1962,157.0,Action,7.2,Howard Hawks,John Wayne,Elsa Martinelli,Hardy Krüger,Red Buttons,12024,1960-1970,6.0
1240,Ride the High Country,30,1962,94.0,Drama,7.5,Sam Peckinpah,Joel McCrea,Randolph Scott,Mariette Hartley,Ron Starr,12422,1960-1970,6.0
1241,Mutiny on the Bounty,21,1962,178.0,Adventure,7.2,Lewis Milestone,Carol Reed,Marlon Brando,Trevor Howard,Richard Harris,15290,1960-1970,6.0
1242,The Music Man,1,1962,151.0,Comedy,7.7,Morton DaCosta,Robert Preston,Shirley Jones,Buddy Hackett,Hermione Gingold,16280,1960-1970,6.0
1243,The Miracle Worker,18,1962,106.0,Biography,8.1,Arthur Penn,Anne Bancroft,Patty Duke,Victor Jory,Inga Swenson,16402,1960-1970,6.0
1244,Birdman of Alcatraz,43,1962,147.0,Biography,7.8,John Frankenheimer,Charles Crichton,Burt Lancaster,Karl Malden,Thelma Ritter,16527,1960-1970,6.0
1245,L'eclisse,29,1962,126.0,Drama,7.9,Michelangelo Antonioni,Monica Vitti,Alain Delon,Francisco Rabal,Lilla Brignone,18232,1960-1970,6.0
1246,Cléo de 5 à 7,20,1962,90.0,Comedy,7.9,Agnès Varda,Corinne Marchand,Antoine Bourseiller,Dominique Davray,Dorothée Blanck,18912,1960-1970,6.0
1247,How the West Was Won,8,1962,164.0,Western,7.1,John Ford,Henry Hathaway,George Marshall,Richard Thorpe,James Stewart,19323,1960-1970,6.0
1248,Le procès,24,1962,119.0,Drama,7.8,Orson Welles,Anthony Perkins,Arnoldo Foà,Jess Hahn,Billy Kearns,20069,1960-1970,6.0
1249,Knife in the Water,28,1962,94.0,Drama,7.5,Roman Polanski,Leon Niemczyk,Jolanta Umecka,Zygmunt Malanowicz,Anna Ciepielewska,20682,1960-1970,6.0
1250,Carnival of Souls,17,1962,78.0,Horror,7.1,Herk Harvey,Candace Hilligoss,Frances Feist,Sidney Berger,Art Ellison,21978,1960-1970,6.0
1251,Cape Fear,14,1962,106.0,Drama,7.7,J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin,27128,1960-1970,6.0
1252,Vivre sa vie: Film en douze tableaux,23,1962,80.0,Drama,8.0,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,29280,1960-1970,6.0
1253,El ángel exterminador,27,1962,95.0,Drama,8.1,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,30588,1960-1970,6.0
1254,Ivanovo detstvo,19,1962,95.0,Drama,8.1,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,33101,1960-1970,6.0
1255,Sanjuro,26,1962,96.0,Action,8.1,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,34168,1960-1970,6.0
1256,Jules et Jim,22,1962,105.0,Drama,7.8,François Truffaut,Jeanne Moreau,Oskar Werner,Henri Serre,Vanna Urbino,38768,1960-1970,6.0
1257,Seppuku,7,1962,133.0,Action,8.6,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,46273,1960-1970,6.0
1258,What Ever Happened to Baby Jane?,12,1962,134.0,Drama,8.1,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,51623,1960-1970,6.0
1259,The Longest Day,9,1962,178.0,Action,7.8,Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,53023,1960-1970,6.0
1260,The Man Who Shot Liberty Valance,11,1962,123.0,Drama,8.1,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,70966,1960-1970,6.0
1261,The Manchurian Candidate,10,1962,126.0,Drama,7.9,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,72392,1960-1970,6.0
1262,Lolita,2,1962,153.0,Crime,7.6,Stanley Kubrick,James Mason,Shelley Winters,Sue Lyon,Gary Cockrell,95152,1960-1970,6.0
1263,Dr. No,5,1962,110.0,Action,7.2,Terence Young,Sean Connery,Ursula Andress,Bernard Lee,Joseph Wiseman,153531,1960-1970,6.0
1264,Lawrence of Arabia,4,1962,228.0,Adventure,8.3,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,274297,1960-1970,6.0
1265,To Kill a Mockingbird,6,1962,129.0,Crime,8.3,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,299181,1960-1970,6.0
1266,Return to Sender,95,1963,61.0,Drama,6.3,Gordon Hales,Nigel Davenport,Yvonne Romain,Geoffrey Keen,William Russell,46,1960-1970,6.0
1267,Wall of Noise,4,1963,112.0,Drama,6.3,Richard Wilson,Suzanne Pleshette,Ty Hardin,Dorothy Provine,Ralph Meeker,214,1960-1970,6.0
1268,Bussen,89,1963,90.0,Comedy,6.3,Finn Henriksen,Dirch Passer,Malene Schwartz,Lily Broberg,Lone Hertz,361,1960-1970,6.0
1269,"Dr. Syn, Alias the Scarecrow",98,1963,98.0,Adventure,7.5,James Neilson,Patrick McGoohan,George Cole,Tony Britton,Michael Hordern,390,1960-1970,6.0
1270,Promises..... Promises!,58,1963,75.0,Comedy,5.1,King Donovan,Jayne Mansfield,Marie McDonald,Tommy Noonan,Mickey Hargitay,443,1960-1970,6.0
1271,Cattle King,92,1963,88.0,Western,5.9,Tay Garnett,Robert Taylor,Robert Loggia,Joan Caulfield,Robert Middleton,468,1960-1970,6.0
1272,Who's Been Sleeping in My Bed?,96,1963,103.0,Comedy,6.0,Daniel Mann,Dean Martin,Elizabeth Montgomery,Martin Balsam,Jill St. John,491,1960-1970,6.0
1273,Gidget Goes to Rome,79,1963,104.0,Adventure,5.1,Paul Wendkos,James Darren,Cindy Carol,Jessie Royce Landis,Cesare Danova,615,1960-1970,6.0
1274,Johnny Cool,80,1963,103.0,Action,6.4,William Asher,Henry Silva,Elizabeth Montgomery,Richard Anderson,Jim Backus,875,1960-1970,6.0
1275,Palm Springs Weekend,3,1963,100.0,Comedy,6.0,Norman Taurog,Troy Donahue,Connie Stevens,Ty Hardin,Stefanie Powers,892,1960-1970,6.0
1276,Kaitei gunkan,39,1963,94.0,Action,6.0,Ishirô Honda,Shûe Matsubayashi,Tadao Takashima,Yôko Fujiyama,Yû Fujiki,1064,1960-1970,6.0
1277,The Running Man,87,1963,103.0,Crime,6.5,Carol Reed,Laurence Harvey,Lee Remick,Alan Bates,Felix Aylmer,1247,1960-1970,6.0
1278,"Take Her, She's Mine",76,1963,98.0,Comedy,6.3,Henry Koster,James Stewart,Sandra Dee,Audrey Meadows,Robert Morley,1250,1960-1970,6.0
1279,A New Kind of Love,97,1963,110.0,Comedy,5.9,Melville Shavelson,Paul Newman,Joanne Woodward,Thelma Ritter,Eva Gabor,1315,1960-1970,6.0
1280,The Victors,37,1963,175.0,Drama,7.0,Carl Foreman,Vince Edwards,Albert Finney,George Hamilton,Melina Mercouri,1455,1960-1970,6.0
1281,Summer Holiday,33,1963,107.0,Comedy,6.1,Peter Yates,Cliff Richard,Lauri Peters,Melvyn Hayes,Una Stubbs,1484,1960-1970,6.0
1282,Soldier in the Rain,91,1963,88.0,Comedy,6.7,Ralph Nelson,Steve McQueen,Jackie Gleason,Tuesday Weld,Tony Bill,1621,1960-1970,6.0
1283,Ro.Go.Pa.G.,83,1963,122.0,Comedy,7.0,Jean-Luc Godard,Ugo Gregoretti,Pier Paolo Pasolini,Roberto Rossellini,Rosanna Schiaffino,1719,1960-1970,6.0
1284,Kings of the Sun,93,1963,108.0,Adventure,6.2,J. Lee Thompson,Yul Brynner,George Chakiris,Shirley Anne Field,Richard Basehart,1759,1960-1970,6.0
1285,The Old Dark House,94,1963,86.0,Comedy,5.5,William Castle,Tom Poston,Robert Morley,Janette Scott,Joyce Grenfell,1813,1960-1970,6.0
1286,Beach Party,53,1963,101.0,Comedy,5.8,William Asher,Robert Cummings,Dorothy Malone,Frankie Avalon,Annette Funicello,1942,1960-1970,6.0
1287,The Ugly American,90,1963,120.0,Adventure,6.7,George Englund,Marlon Brando,Eiji Okada,Sandra Church,Pat Hingle,1948,1960-1970,6.0
1288,Nippon konchûki,56,1963,123.0,Drama,7.4,Shohei Imamura,Emiko Aizawa,Setsuko Amamiya,Tomio Aoki,Tomoko Aoyagi,2003,1960-1970,6.0
1289,The Three Lives of Thomasina,72,1963,97.0,Drama,7.2,Don Chaffey,Patrick McGoohan,Susan Hampshire,Laurence Naismith,Jean Anderson,2179,1960-1970,6.0
1290,Summer Magic,46,1963,110.0,Comedy,7.1,James Neilson,Hayley Mills,Dorothy McGuire,Burl Ives,Deborah Walley,2231,1960-1970,6.0
1291,El Naser Salah el Dine,64,1963,186.0,Action,7.7,Youssef Chahine,Ahmad Mazhar,Mohamed Abdel Gawad,Tawfik El Deken,Umar El-Hariri,2291,1960-1970,6.0
1292,The Sadist,50,1963,92.0,Horror,6.7,James Landis,Arch Hall Jr.,Helen Hovey,Richard Alden,Marilyn Manning,2362,1960-1970,6.0
1293,It Happened at the World's Fair,54,1963,105.0,Comedy,6.1,Norman Taurog,Elvis Presley,Joan O'Brien,Gary Lockwood,Vicky Tiu,2368,1960-1970,6.0
1294,PT 109,8,1963,140.0,Biography,6.6,Leslie H. Martinson,Cliff Robertson,Robert Culp,Ty Hardin,James Gregory,2401,1960-1970,6.0
1295,The Cardinal,84,1963,175.0,Drama,6.8,Otto Preminger,Tom Tryon,John Huston,Romy Schneider,Carol Lynley,2410,1960-1970,6.0
1296,"Captain Newman, M.D.",86,1963,126.0,Comedy,7.0,David Miller,Gregory Peck,Tony Curtis,Angie Dickinson,Eddie Albert,2422,1960-1970,6.0
1297,Spencer's Mountain,55,1963,118.0,Drama,7.0,Delmer Daves,Henry Fonda,Maureen O'Hara,James MacArthur,Donald Crisp,2561,1960-1970,6.0
1298,A Child Is Waiting,100,1963,102.0,Drama,7.2,John Cassavetes,Burt Lancaster,Judy Garland,Gena Rowlands,Steven Hill,2606,1960-1970,6.0
1299,I compagni,74,1963,130.0,Drama,8.0,Mario Monicelli,Marcello Mastroianni,Renato Salvatori,Gabriella Giorgelli,Folco Lulli,2611,1960-1970,6.0
1300,The Courtship of Eddie's Father,36,1963,118.0,Comedy,6.8,Vincente Minnelli,Glenn Ford,Ron Howard,Shirley Jones,Stella Stevens,2645,1960-1970,6.0
1301,Sunday in New York,7,1963,105.0,Comedy,6.8,Peter Tewksbury,Rod Taylor,Jane Fonda,Cliff Robertson,Robert Culp,2681,1960-1970,6.0
1302,Son of Flubber,82,1963,100.0,Comedy,6.1,Robert Stevenson,Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,2730,1960-1970,6.0
1303,The Kiss of the Vampire,62,1963,88.0,Horror,6.3,Don Sharp,Clifford Evans,Edward de Souza,Noel Willman,Jennifer Daniel,2939,1960-1970,6.0
1304,Fun in Acapulco,29,1963,97.0,Comedy,5.9,Richard Thorpe,Elvis Presley,Ursula Andress,Elsa Cárdenas,Paul Lukas,2976,1960-1970,6.0
1305,4 for Texas,51,1963,124.0,Comedy,5.6,Robert Aldrich,Frank Sinatra,Dean Martin,Anita Ekberg,Ursula Andress,3112,1960-1970,6.0
1306,Mélodie en sous-sol,99,1963,118.0,Crime,7.3,Henri Verneuil,Jean Gabin,Alain Delon,Claude Cerval,Viviane Romance,3208,1960-1970,6.0
1307,La baie des anges,70,1963,90.0,Drama,7.3,Jacques Demy,Jeanne Moreau,Claude Mann,Paul Guers,Henri Nassiet,3243,1960-1970,6.0
1308,The V.I.P.s,63,1963,119.0,Drama,6.3,Anthony Asquith,Elizabeth Taylor,Richard Burton,Louis Jourdan,Elsa Martinelli,3495,1960-1970,6.0
1309,La frusta e il corpo,73,1963,92.0,Horror,6.8,Mario Bava,Daliah Lavi,Christopher Lee,Tony Kendall,Evelyn Stewart,3566,1960-1970,6.0
1310,Mahanagar,75,1963,136.0,Drama,8.3,Satyajit Ray,Anil Chatterjee,Madhabi Mukherjee,Jaya Bachchan,Haren Chatterjee,3737,1960-1970,6.0
1311,Winnetou,78,1963,101.0,Western,6.9,Harald Reinl,Lex Barker,Pierre Brice,Marie Versini,Mario Adorf,3787,1960-1970,6.0
1312,La ragazza che sapeva troppo,81,1963,86.0,Comedy,7.0,Mario Bava,John Saxon,Letícia Román,Valentina Cortese,Titti Tomaino,4151,1960-1970,6.0
1313,The Incredible Journey,61,1963,80.0,Adventure,7.1,Fletcher Markle,Émile Genest,John Drainie,Tommy Tweed,Sandra Scott,4235,1960-1970,6.0
1314,Susuz Yaz,59,1963,90.0,Drama,8.0,Metin Erksan,Erol Tas,Hülya Koçyigit,Ulvi Dogan,Alaettin Altiok,4236,1960-1970,6.0
1315,The Prize,88,1963,134.0,Crime,6.8,Mark Robson,Paul Newman,Edward G. Robinson,Elke Sommer,Diane Baker,4365,1960-1970,6.0
1316,Love with the Proper Stranger,41,1963,102.0,Comedy,7.4,Robert Mulligan,Natalie Wood,Steve McQueen,Edie Adams,Herschel Bernardi,4446,1960-1970,6.0
1317,The List of Adrian Messenger,60,1963,98.0,Mystery,6.9,John Huston,Kirk Douglas,Robert Mitchum,Tony Curtis,Burt Lancaster,4984,1960-1970,6.0
1318,The Thrill of It All,69,1963,108.0,Comedy,7.0,Norman Jewison,Doris Day,James Garner,Arlene Francis,Edward Andrews,5021,1960-1970,6.0
1319,America America,77,1963,174.0,Drama,7.8,Elia Kazan,Stathis Giallelis,Frank Wolff,Elena Karam,Harry Davis,5028,1960-1970,6.0
1320,The Comedy of Terrors,68,1963,84.0,Comedy,6.7,Jacques Tourneur,Vincent Price,Peter Lorre,Boris Karloff,Joyce Jameson,5316,1960-1970,6.0
1321,"Move Over, Darling",65,1963,103.0,Comedy,7.0,Michael Gordon,Doris Day,James Garner,Polly Bergen,Thelma Ritter,5441,1960-1970,6.0
1322,Murder at the Gallop,71,1963,81.0,Comedy,7.3,George Pollock,Margaret Rutherford,Stringer Davis,Robert Morley,Flora Robson,5574,1960-1970,6.0
1323,This Sporting Life,45,1963,134.0,Drama,7.6,Lindsay Anderson,Richard Harris,Rachel Roberts,Alan Badel,William Hartnell,6029,1960-1970,6.0
1324,Billy Liar,57,1963,98.0,Comedy,7.3,John Schlesinger,Tom Courtenay,Julie Christie,Wilfred Pickles,Mona Washbourne,6070,1960-1970,6.0
1325,El verdugo,85,1963,87.0,Drama,8.0,Luis García Berlanga,Nino Manfredi,Emma Penella,José Isbert,José Luis López Vázquez,6102,1960-1970,6.0
1326,Blood Feast,25,1963,67.0,Horror,5.1,Herschell Gordon Lewis,William Kerwin,Mal Arnold,Connie Mason,Lyn Bolton,6175,1960-1970,6.0
1327,55 Days at Peking,49,1963,154.0,Action,6.7,Nicholas Ray,Guy Green,Andrew Marton,Charlton Heston,Ava Gardner,6184,1960-1970,6.0
1328,The Haunted Palace,67,1963,87.0,Horror,6.8,Roger Corman,Vincent Price,Debra Paget,Lon Chaney Jr.,Frank Maxwell,6348,1960-1970,6.0
1329,X,48,1963,79.0,Horror,6.6,Roger Corman,Ray Milland,Diana Van der Vlis,Harold J. Stone,John Hoyt,6437,1960-1970,6.0
1330,Le petit soldat,66,1963,88.0,Drama,7.2,Jean-Luc Godard,Anna Karina,Michel Subor,Henri-Jacques Huet,Paul Beauvais,6594,1960-1970,6.0
1331,The Terror,47,1963,81.0,Horror,5.0,Roger Corman,Francis Ford Coppola,Jack Hale,Monte Hellman,Jack Hill,7204,1960-1970,6.0
1332,Dementia 13,34,1963,75.0,Horror,5.7,Francis Ford Coppola,William Campbell,Luana Anders,Bart Patton,Mary Mitchel,7369,1960-1970,6.0
1333,The Day of the Triffids,52,1963,93.0,Horror,6.1,Steve Sekely,Freddie Francis,Howard Keel,Nicole Maurey,Janette Scott,7593,1960-1970,6.0
1334,Bye Bye Birdie,18,1963,112.0,Comedy,6.6,George Sidney,Dick Van Dyke,Ann-Margret,Janet Leigh,Maureen Stapleton,7715,1960-1970,6.0
1335,Donovan's Reef,23,1963,109.0,Adventure,6.9,John Ford,John Wayne,Lee Marvin,Elizabeth Allen,Jack Warden,8074,1960-1970,6.0
1336,Ieri oggi domani,27,1963,114.0,Comedy,7.3,Vittorio De Sica,Sophia Loren,Marcello Mastroianni,Aldo Giuffrè,Agostino Salvietti,8343,1960-1970,6.0
1337,Le feu follet,43,1963,108.0,Drama,8.0,Louis Malle,Maurice Ronet,Léna Skerla,Yvonne Clech,Hubert Deschamps,8699,1960-1970,6.0
1338,Lilies of the Field,35,1963,94.0,Drama,7.6,Ralph Nelson,Sidney Poitier,Lilia Skala,Lisa Mann,Isa Crino,9468,1960-1970,6.0
1339,King Kong vs. Godzilla,22,1963,97.0,Action,5.9,Ishirô Honda,Tom Montgomery,Tadao Takashima,Kenji Sahara,Yû Fujiki,9594,1960-1970,6.0
1340,The Servant,30,1963,116.0,Drama,7.9,Joseph Losey,Dirk Bogarde,Sarah Miles,Wendy Craig,James Fox,10720,1960-1970,6.0
1341,I tre volti della paura,31,1963,92.0,Horror,7.1,Mario Bava,Michèle Mercier,Lidia Alfonsi,Boris Karloff,Mark Damon,10904,1960-1970,6.0
1342,The Raven,38,1963,86.0,Comedy,6.6,Roger Corman,Vincent Price,Peter Lorre,Boris Karloff,Hazel Court,10906,1960-1970,6.0
1343,Shock Corridor,44,1963,101.0,Drama,7.4,Samuel Fuller,Peter Breck,Constance Towers,Gene Evans,James Best,11250,1960-1970,6.0
1344,Tom Jones,28,1963,129.0,Adventure,6.5,Tony Richardson,Albert Finney,Susannah York,George Devine,Rachel Kempson,12105,1960-1970,6.0
1345,McLintock!,10,1963,127.0,Comedy,7.2,Andrew V. McLaglen,John Wayne,Maureen O'Hara,Patrick Wayne,Stefanie Powers,13587,1960-1970,6.0
1346,The Nutty Professor,26,1963,107.0,Comedy,6.7,Jerry Lewis,Jerry Lewis,Stella Stevens,Del Moore,Kathleen Freeman,15943,1960-1970,6.0
1347,Irma la Douce,32,1963,147.0,Comedy,7.4,Billy Wilder,Jack Lemmon,Shirley MacLaine,Lou Jacobi,Bruce Yarnell,17829,1960-1970,6.0
1348,Lord of the Flies,20,1963,92.0,Adventure,6.9,Peter Brook,James Aubrey,Tom Chapin,Hugh Edwards,Roger Elwin,18085,1960-1970,6.0
1349,Tystnaden,42,1963,96.0,Drama,7.9,Ingmar Bergman,Ingrid Thulin,Gunnel Lindblom,Birger Malmsten,Håkan Jahnberg,18471,1960-1970,6.0
1350,Hud,15,1963,112.0,Drama,7.8,Martin Ritt,Paul Newman,Melvyn Douglas,Patricia Neal,Brandon De Wilde,20272,1960-1970,6.0
1351,Nattvardsgästerna,40,1963,81.0,Drama,8.1,Ingmar Bergman,Ingrid Thulin,Gunnar Björnstrand,Gunnel Lindblom,Max von Sydow,23063,1960-1970,6.0
1352,Il gattopardo,21,1963,186.0,Drama,8.0,Luchino Visconti,Burt Lancaster,Alain Delon,Claudia Cardinale,Paolo Stoppa,23951,1960-1970,6.0
1353,Jason and the Argonauts,14,1963,104.0,Action,7.3,Don Chaffey,Todd Armstrong,Nancy Kovack,Gary Raymond,Laurence Naismith,25586,1960-1970,6.0
1354,Le mépris,19,1963,103.0,Drama,7.6,Jean-Luc Godard,Brigitte Bardot,Jack Palance,Michel Piccoli,Giorgia Moll,29819,1960-1970,6.0
1355,Cleopatra,5,1963,192.0,Biography,7.0,Joseph L. Mankiewicz,Elizabeth Taylor,Richard Burton,Rex Harrison,Pamela Brown,30422,1960-1970,6.0
1356,The Haunting,24,1963,112.0,Horror,7.5,Robert Wise,Julie Harris,Claire Bloom,Richard Johnson,Russ Tamblyn,35653,1960-1970,6.0
1357,Tengoku to jigoku,16,1963,143.0,Crime,8.4,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,37412,1960-1970,6.0
1358,It's a Mad Mad Mad Mad World,6,1963,210.0,Action,7.5,Stanley Kramer,Spencer Tracy,Milton Berle,Ethel Merman,Mickey Rooney,38813,1960-1970,6.0
1359,The Pink Panther,13,1963,115.0,Comedy,7.1,Blake Edwards,David Niven,Peter Sellers,Robert Wagner,Capucine,49549,1960-1970,6.0
1360,Charade,12,1963,113.0,Comedy,7.9,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,71416,1960-1970,6.0
1361,The Sword in the Stone,17,1963,79.0,Animation,7.2,Wolfgang Reitherman,Clyde Geronimi,David Hand,Rickie Sorensen,Sebastian Cabot,91868,1960-1970,6.0
1362,8½,11,1963,138.0,Drama,8.0,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,111523,1960-1970,6.0
1363,From Russia with Love,9,1963,115.0,Action,7.4,Terence Young,Sean Connery,Robert Shaw,Lotte Lenya,Daniela Bianchi,123366,1960-1970,6.0
1364,The Birds,2,1963,119.0,Drama,7.7,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,176051,1960-1970,6.0
1365,The Great Escape,1,1963,172.0,Adventure,8.2,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,230095,1960-1970,6.0
1366,Leader,54,1964,176.0,Comedy,7.4,Ram Mukherjee,Dilip Kumar,Vyjayanthimala,Jayant,Nasir Hussain,190,1960-1970,6.0
1367,East of Sudan,73,1964,85.0,Adventure,5.0,Nathan Juran,Anthony Quayle,Sylvia Syms,Derek Fowlds,Jenny Agutter,204,1960-1970,6.0
